SA2_CODE_2021,went_to_work_total,car_share,pt_share,SA2_NAME21,stops_count,area_km2,stops_per_km2,region,IRSAD_Score,IRSAD_Decile
211031266,5498,0.8470352855583849,0.1107675518370316,Ringwood,120,9.911,12.0,VIC,1022,7
211031267,5846,0.8877865206979131,0.0754361956893602,Ringwood East,59,9.393,6.0,VIC,1048,8
211031268,2656,0.9190512048192772,0.0568524096385542,Ringwood North,56,4.731,12.0,VIC,1085,9
211031450,5154,0.9006596818005432,0.0636398913465269,Croydon - East,77,8.098,10.0,VIC,991,5
211031451,3946,0.9049670552458186,0.0631018753167764,Croydon - West,71,6.798,10.0,VIC,1025,7
211031452,1525,0.919344262295082,0.0485245901639344,Croydon South,14,2.856,5.0,VIC,1026,7
211041269,2729,0.8732136313668011,0.0850128252106998,Forest Hill,52,4.071,13.0,VIC,1036,7
211041270,4568,0.8366900175131349,0.1254378283712784,Mitcham (Vic.),109,6.627,16.0,VIC,1075,9
211041271,3286,0.8365794278758368,0.1265976871576384,Nunawading,74,5.078,15.0,VIC,1059,8
211041272,2870,0.8933797909407666,0.0766550522648083,Vermont,50,4.609,11.0,VIC,1071,8
211041273,3029,0.9026081214922416,0.0765929349620336,Vermont South,51,6.184,8.0,VIC,1073,8
211051274,3025,0.9021487603305786,0.0492561983471074,Belgrave - Selby,81,55.652,1.0,VIC,1057,8
211051275,3890,0.9377892030848328,0.0331619537275064,Chirnside Park,39,22.203,2.0,VIC,1037,7
211051276,4378,0.91662859753312,0.0173595248972133,Healesville - Yarra Glen,50,369.525,0.0,VIC,993,5
211051277,3329,0.92760588765395,0.0330429558425953,Kilsyth,55,8.242,7.0,VIC,985,5
211051278,6609,0.9210167952791648,0.0411559993947647,Lilydale - Coldstream,106,109.382,1.0,VIC,1006,6
211051279,1897,0.9061676331049024,0.0168687401159725,Monbulk - Silvan,26,68.555,0.0,VIC,1024,7
211051280,2225,0.9379775280898875,0.0229213483146067,Montrose,39,10.543,4.0,VIC,1034,7
211051281,7739,0.9356506008528234,0.0462592066158418,Mooroolbark,48,12.544,4.0,VIC,1009,6
211051282,2694,0.9146250927988122,0.0382331106161841,Mount Dandenong - Olinda,135,81.9,2.0,VIC,1075,9
211051283,3482,0.932797242963814,0.0261344055140723,Mount Evelyn,41,16.99,2.0,VIC,1014,6
211051284,3091,0.9084438692979618,0.0585571012617276,Upwey - Tecoma,59,8.891,7.0,VIC,1050,8
211051285,2933,0.9171496760995568,0.0197749744289123,Wandin - Seville,26,111.756,0.0,VIC,1019,6
211051286,5432,0.9258100147275404,0.0167525773195876,Yarra Valley,79,729.756,0.0,VIC,955,4
212011289,6212,0.9399549259497746,0.0143271088216355,Emerald - Cockatoo,83,371.624,0.0,VIC,1034,7
212011546,8410,0.9209274673008324,0.0514863258026159,Beaconsfield - Officer,75,33.251,2.0,VIC,1036,7
212011547,3369,0.908875037102998,0.0246363906203621,Bunyip - Garfield,18,365.962,0.0,VIC,1003,6
212011548,3723,0.9218372280419016,0.0126242277733011,Koo Wee Rup,6,414.663,0.0,VIC,975,5
212011549,5368,0.9279061102831596,0.0402384500745156,Pakenham - North East,46,18.929,2.0,VIC,949,3
212011550,2709,0.91546696197859,0.0428202288667404,Pakenham - North West,13,24.678,1.0,VIC,999,6
212011551,2114,0.8713339640491958,0.0780510879848628,Pakenham - South East,52,30.941,2.0,VIC,924,2
212011552,9033,0.9098859736521644,0.0627698439056791,Pakenham - South West,88,22.278,4.0,VIC,968,4
212021293,7097,0.937156545019022,0.0345216288572636,Berwick - North,136,19.748,7.0,VIC,1042,7
212021295,3597,0.8968584931887684,0.0606060606060606,Doveton,46,5.193,9.0,VIC,859,1
212021297,3482,0.9124066628374498,0.0591614014933946,Hallam,59,8.056,7.0,VIC,925,2
212021299,2749,0.9414332484539832,0.0127319025100036,Narre Warren North,20,34.409,1.0,VIC,1066,8
212021453,3892,0.9383350462487152,0.040082219938335,Endeavour Hills - North,54,14.474,4.0,VIC,989,5
212021454,4177,0.9296145559013648,0.0406990663155374,Endeavour Hills - South,75,5.588,13.0,VIC,996,5
212021455,4728,0.934010152284264,0.041243654822335,Narre Warren - North East,43,4.874,9.0,VIC,986,5
212021456,4931,0.908132224700872,0.0683431352666801,Narre Warren - South West,82,9.305,9.0,VIC,945,3
212021553,5835,0.9261353898886032,0.0488431876606683,Berwick - South East,67,9.884,7.0,VIC,1051,8
212021554,3758,0.919105907397552,0.0510910058541777,Berwick - South West,27,4.972,5.0,VIC,1031,7
212031300,7348,0.902286336418073,0.0619216113228089,Cranbourne,84,13.027,6.0,VIC,906,2
212031303,6519,0.922227335480902,0.0343610983279644,Cranbourne South,68,81.662,1.0,VIC,1031,7
212031304,7944,0.9272406847935548,0.0425478348439073,Cranbourne West,48,12.898,4.0,VIC,973,5
212031306,6219,0.8929088277858177,0.0795947901591895,Lynbrook - Lyndhurst,48,7.358,7.0,VIC,1026,7
212031308,3018,0.9280980781974818,0.0053015241882041,Pearcedale - Tooradin,47,98.511,0.0,VIC,988,5
212031457,4618,0.9387180597661324,0.0387613685578172,Narre Warren South - East,41,6.22,7.0,VIC,1023,7
212031458,5763,0.922262710393892,0.0539649488113829,Narre Warren South - West,68,6.777,10.0,VIC,965,4
212031555,3459,0.9202081526452732,0.0540618675917895,Clyde North - North,26,6.883,4.0,VIC,1067,8
212031556,5606,0.9332857652515162,0.0451302176239743,Clyde North - South,88,19.654,4.0,VIC,1042,7
212031557,8068,0.9093951412989588,0.058874566187407,Cranbourne East - North,65,11.026,6.0,VIC,984,5
212031558,4386,0.918376652986776,0.0622435020519835,Cranbourne East - South,13,5.327,2.0,VIC,1004,6
212031559,4304,0.9298327137546468,0.0483271375464684,Cranbourne North - East,29,5.455,5.0,VIC,1012,6
212031560,4138,0.9197680038666022,0.0471242145964233,Cranbourne North - West,52,4.785,11.0,VIC,931,3
212031561,4316,0.9151992585727524,0.0581556997219647,Hampton Park - East,50,8.219,6.0,VIC,917,2
212031562,4429,0.9067509595845564,0.0602844885978776,Hampton Park - West,55,5.124,11.0,VIC,898,2
212041309,3386,0.8922031896042528,0.0753101004134672,Clarinda - Oakleigh South,56,6.323,9.0,VIC,995,5
212041310,4514,0.824102791315906,0.1451041205139565,Clayton South,73,7.939,9.0,VIC,979,5
212041312,6940,0.9102305475504324,0.0636887608069164,Dandenong North,103,9.458,11.0,VIC,934,3
212041313,3328,0.9263822115384616,0.03515625,Dingley Village,48,7.243,7.0,VIC,1048,8
212041316,2348,0.91396933560477,0.0519591141396933,Noble Park North,45,3.758,12.0,VIC,936,3
212041317,7461,0.8351427422597507,0.120627261761158,Springvale,99,11.106,9.0,VIC,900,2
212041318,4456,0.9104578096947936,0.0626122082585278,Springvale South,49,4.56,11.0,VIC,878,1
212041459,4486,0.8448506464556398,0.1101203744984395,Noble Park - East,42,3.768,11.0,VIC,921,2
212041460,6701,0.8697209371735561,0.1059543351738546,Noble Park - West,56,4.794,12.0,VIC,888,1
212041563,6521,0.8333077748811532,0.126514338291673,Dandenong - North,135,8.041,17.0,VIC,872,1
212041564,2839,0.8686157097569567,0.0891158858753082,Dandenong - South,130,53.783,2.0,VIC,864,1
212041565,5049,0.9191919191919192,0.0483264012675777,Keysborough - North,75,6.605,11.0,VIC,924,2
212041566,5468,0.9336137527432332,0.0416971470373079,Keysborough - South,44,23.675,2.0,VIC,1074,8
212051319,5287,0.8519008889729526,0.1080007565727255,Ashwood - Chadstone,65,6.709,10.0,VIC,1067,8
212051321,5413,0.8627378533160909,0.1023462035839645,Glen Waverley - East,82,9.164,9.0,VIC,1084,9
212051322,5633,0.8370317770282265,0.1111308361441505,Glen Waverley - West,101,7.676,13.0,VIC,1074,8
212051323,4040,0.8762376237623762,0.097029702970297,Mount Waverley - North,56,6.484,9.0,VIC,1091,9
212051324,5042,0.8629512098373662,0.0975803252677508,Mount Waverley - South,69,8.701,8.0,VIC,1092,9
212051325,5916,0.9109195402298852,0.0669371196754563,Mulgrave,110,10.719,10.0,VIC,1043,7
212051326,6893,0.8247497461192514,0.125054403017554,Oakleigh - Huntingdale,184,10.17,18.0,VIC,1056,8
212051327,5173,0.921708872994394,0.056060313164508,Wheelers Hill,105,10.439,10.0,VIC,1080,9
212051567,2879,0.7134421674192428,0.1653351858284126,Clayton (North) - Notting Hill,74,5.229,14.0,VIC,1029,7
212051568,4416,0.6902173913043478,0.2266757246376811,Clayton - Central,40,4.182,10.0,VIC,1013,6
213011328,2259,0.7897299690128375,0.1611332447985834,Ardeer - Albion,35,4.588,8.0,VIC,930,3
